Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,ma_10,ma_50,rsi,volatility
2024-09-24 13:00:00+00:00,3.352316707605496e-05,3.3758769859559834e-05,3.352316707605496e-05,3.3758769859559834e-05,0,0.0,0.0,3.336633308208548e-05,3.323430093587376e-05,57.63112289484988,2.576855088401895e-07
2024-09-24 14:00:00+00:00,3.359486800036393e-05,3.359486800036393e-05,3.305020072730258e-05,3.32718736899551e-05,0,0.0,0.0,3.339927461638581e-05,3.324248180433642e-05,50.453038029260256,2.1499812196916988e-07
2024-09-24 15:00:00+00:00,3.327793092466891e-05,3.337307134643197e-05,3.313674824312329e-05,3.320455289212987e-05,0,0.0,0.0,3.3414108474971724e-05,3.325495330500417e-05,53.37755340018932,1.9265498002846315e-07
2024-09-24 16:00:00+00:00,3.3190670365002006e-05,3.3266001992160454e-05,3.313439810881391e-05,3.3266001992160454e-05,0,0.0,0.0,3.342345989949535e-05,3.32678115228191e-05,55.21485502186493,1.8157457439183826e-07
2024-09-24 17:00:00+00:00,3.323944110888988e-05,3.355451917741448e-05,3.323944110888988e-05,3.355451917741448e-05,98677,0.0,0.0,3.345096920384094e-05,3.328541082737502e-05,58.73756532226685,1.7813450755863867e-07
2024-09-24 18:00:00+00:00,3.349063263158314e-05,3.3521686418680474e-05,3.337318412377499e-05,3.338222450111061e-05,70398,0.0,0.0,3.344130891491659e-05,3.329742685309611e-05,59.489634425889754,1.7907281846750957e-07
2024-09-24 19:00:00+00:00,3.338833630550653e-05,3.36257326125633e-05,3.338833630550653e-05,3.36257326125633e-05,60614,0.0,0.0,3.3472661016276106e-05,3.3310284416074864e-05,61.63783746814515,1.8138973065906655e-07
2024-09-24 20:00:00+00:00,3.363225550856441e-05,3.378116525709629e-05,3.357206514920108e-05,3.376854510861449e-05,263139,0.0,0.0,3.349384278408252e-05,3.332870386657305e-05,62.049458946250574,2.0333706846653047e-07
2024-09-24 21:00:00+00:00,3.375245796632953e-05,3.377611574251205e-05,3.372868741280399e-05,3.374342486495152e-05,0,0.0,0.0,3.351059822307434e-05,3.334618180815596e-05,59.700754654412094,2.172732269550574e-07
2024-09-24 22:00:00+00:00,3.377729808562435e-05,3.399979686946608e-05,3.377729808562435e-05,3.399979686946608e-05,243036,0.0,0.0,3.3557544156792574e-05,3.3366954085067846e-05,60.63841009617456,2.670321172401665e-07
2024-09-24 23:00:00+00:00,3.412417572690174e-05,3.412417572690174e-05,3.3922136935871094e-05,3.4017419238807634e-05,332532,0.0,0.0,3.358340909471735e-05,3.3392030964023434e-05,65.33368560272872,2.9926924373390403e-07
2024-09-25 00:00:00+00:00,3.402783113415353e-05,3.4095472074113786e-05,3.379931513336487e-05,3.40280203090515e-05,489658,0.0,0.0,3.3659023756626993e-05,3.340869749081321e-05,61.40801065175046,3.072291534813548e-07
2024-09-25 01:00:00+00:00,3.400100104045123e-05,3.423457019380294e-05,3.400100104045123e-05,3.419662971282378e-05,171975,0.0,0.0,3.3758231438696384e-05,3.342823576531373e-05,64.0120615097581,3.0433215231343967e-07
2024-09-25 02:00:00+00:00,3.4224904084112495e-05,3.431235745665617e-05,3.421751534915529e-05,3.428015043027699e-05,0,0.0,0.0,3.3859646282508035e-05,3.34495393326506e-05,66.63975547414023,2.90750452501352e-07
2024-09-25 03:00:00+00:00,3.421586734475568e-05,3.422776353545487e-05,3.41501618095208e-05,3.422776353545487e-05,29900,0.0,0.0,3.3926970718312075e-05,3.346874764247332e-05,61.29000052545846,2.9019234919058027e-07
2024-09-25 04:00:00+00:00,3.426635157666169e-05,3.426635157666169e-05,3.4011751267826185e-05,3.4011751267826185e-05,114786,0.0,0.0,3.3989923394983634e-05,3.348316728079226e-05,70.48220436280138,2.1825400624507804e-07
2024-09-25 05:00:00+00:00,3.413124431972392e-05,3.498946171021089e-05,3.413124431972392e-05,3.472608295851387e-05,3129819,0.0,0.0,3.409995842957869e-05,3.3505173050798475e-05,81.01165768723705,2.8223949439597047e-07
2024-09-25 06:00:00+00:00,3.478643702692352e-05,3.478643702692352e-05,3.4328502806602046e-05,3.444697358645499e-05,799166,0.0,0.0,3.416780127736274e-05,3.352775958774146e-05,72.10879535353178,2.751747726661771e-07
2024-09-25 07:00:00+00:00,3.420861321501434e-05,3.422929876251146e-05,3.4036231227219105e-05,3.41478043992538e-05,335258,0.0,0.0,3.420823923079297e-05,3.353997992235236e-05,61.0626840886366,2.322457162752409e-07
2024-09-25 08:00:00+00:00,3.416193067096174e-05,3.439159263507463e-05,3.416193067096174e-05,3.4356449759798124e-05,0,0.0,0.0,3.4243904519826176e-05,3.355599510541651e-05,67.92290939658854,2.2391483228328337e-07
2024-09-25 09:00:00+00:00,3.4292741474928334e-05,3.4442498872522265e-05,3.4292741474928334e-05,3.429319986025803e-05,92536,0.0,0.0,3.4271482581971215e-05,3.3576724599697625e-05,63.15173758458539,2.0943564962419175e-07
2024-09-25 10:00:00+00:00,3.427349292906001e-05,3.4454256820026785e-05,3.421988731133752e-05,3.429144999245182e-05,109386,0.0,0.0,3.4297825550311245e-05,3.3602275580051354e-05,60.90976022588407,1.9118197303965253e-07
2024-09-25 11:00:00+00:00,3.428829222684726e-05,3.466750422376208e-05,3.4182474337285385e-05,3.464185283519328e-05,743068,0.0,0.0,3.434234786254819e-05,3.363059280673042e-05,66.50440147669352,2.1531546202602096e-07
2024-09-25 12:00:00+00:00,3.457208731560968e-05,3.462905442574993e-05,3.426026160013862e-05,3.426026160013862e-05,570902,0.0,0.0,3.434035897953436e-05,3.36506929306779e-05,54.57436830577908,2.1604444270826525e-07
